CurrentWeight,DreamWeight,Goal,monday,tuesday,wednesday,thursday,friday,saturday,sunday
60,72,Gain,Glutes + Core,Chest + Triceps,Glutes + Core,Chest + Triceps,Full Body Strength,Glutes + Core,Chest + Triceps
65,65,Maintain,Cardio + Flex,Strength + Flexibility,Strength Light,HIIT + Core,Strength + Flexibility,HIIT + Core,Yoga + Full Body
101,97,Lose,Core Focus,Cardio + Legs,HIIT + Full Body,Cardio + Abs,Cardio + Core,Cardio + Abs,HIIT + Full Body
52,67,Gain,Legs,Legs,Full Body Strength,Back + Biceps,Chest + Triceps,Chest + Biceps,Full Body Strength
68,53,Lose,Full Body HIIT,Cardio Endurance,Cardio + Abs,Cardio + Legs,Cardio + Legs,Core Focus,Cardio Endurance
89,86,Lose,Core Focus,Cardio + Legs,Cardio Endurance,Cardio + Abs,Cardio + Legs,Cardio Endurance,Cardio + Abs
110,95,Lose,Cardio + Abs,Cardio + Abs,Core Focus,HIIT + Full Body,Cardio + Core,Cardio + Legs,Cardio Endurance
86,83,Lose,HIIT + Full Body,Cardio + Legs,Cardio + Abs,HIIT + Full Body,HIIT + Full Body,Cardio Endurance,HIIT + Full Body
113,107,Lose,HIIT + Full Body,HIIT + Full Body,HIIT + Full Body,HIIT + Full Body,Cardio + Core,Cardio + Legs,Cardio + Abs
109,120,Gain,Back + Biceps,Full Body Strength,Glutes + Core,Back + Biceps,Chest + Biceps,Back + Biceps,Glutes + Core
89,84,Lose,Full Body HIIT,Full Body HIIT,Cardio + Legs,Cardio Endurance,Cardio Endurance,Cardio Endurance,Cardio + Core
103,100,Lose,Cardio Endurance,Cardio + Abs,Cardio + Legs,Cardio + Legs,Cardio + Core,Cardio + Core,Cardio + Core
109,112,Gain,Chest + Biceps,Back + Biceps,Legs,Chest + Biceps,Full Body Strength,Chest + Biceps,Full Body Strength
109,122,Gain,Chest + Biceps,Full Body Strength,Back + Biceps,Shoulders + Abs,Shoulders + Abs,Chest + Biceps,Full Body Strength
86,99,Gain,Full Body Strength,Chest + Biceps,Chest + Biceps,Legs,Full Body Strength,Full Body Strength,Chest + Triceps
117,126,Gain,Chest + Biceps,Full Body Strength,Legs,Shoulders + Abs,Back + Biceps,Full Body Strength,Chest + Biceps
103,115,Gain,Full Body Strength,Legs,Legs,Glutes + Core,Chest + Triceps,Shoulders + Abs,Legs
46,45,Lose,Cardio + Core,Full Body HIIT,HIIT + Full Body,Full Body HIIT,Core Focus,Cardio + Core,Cardio Endurance
100,111,Gain,Shoulders + Abs,Chest + Triceps,Full Body Strength,Full Body Strength,Back + Biceps,Full Body Strength,Full Body Strength
64,79,Gain,Full Body Strength,Chest + Triceps,Back + Biceps,Legs,Full Body Strength,Chest + Triceps,Legs
79,80,Gain,Full Body Strength,Full Body Strength,Glutes + Core,Glutes + Core,Legs,Glutes + Core,Legs
80,95,Gain,Shoulders + Abs,Full Body Strength,Full Body Strength,Back + Biceps,Chest + Biceps,Chest + Biceps,Back + Biceps
70,78,Gain,Glutes + Core,Shoulders + Abs,Legs,Back + Biceps,Chest + Triceps,Full Body Strength,Shoulders + Abs
74,65,Lose,Core Focus,Cardio + Core,HIIT + Full Body,HIIT + Full Body,Full Body HIIT,Core Focus,HIIT + Full Body
74,86,Gain,Chest + Biceps,Shoulders + Abs,Shoulders + Abs,Full Body Strength,Chest + Biceps,Back + Biceps,Chest + Biceps
100,101,Gain,Chest + Biceps,Full Body Strength,Glutes + Core,Shoulders + Abs,Chest + Triceps,Legs,Shoulders + Abs
92,78,Lose,Cardio Endurance,Cardio + Core,Cardio + Abs,Full Body HIIT,Core Focus,Cardio + Abs,HIIT + Full Body
82,96,Gain,Full Body Strength,Back + Biceps,Legs,Chest + Triceps,Back + Biceps,Legs,Legs
91,106,Gain,Chest + Biceps,Full Body Strength,Legs,Full Body Strength,Back + Biceps,Chest + Triceps,Chest + Triceps
45,47,Gain,Legs,Full Body Strength,Legs,Shoulders + Abs,Shoulders + Abs,Full Body Strength,Chest + Biceps
89,95,Gain,Glutes + Core,Shoulders + Abs,Chest + Triceps,Legs,Legs,Back + Biceps,Shoulders + Abs
51,52,Gain,Back + Biceps,Shoulders + Abs,Back + Biceps,Chest + Biceps,Chest + Triceps,Back + Biceps,Chest + Triceps
117,125,Gain,Glutes + Core,Shoulders + Abs,Full Body Strength,Glutes + Core,Glutes + Core,Chest + Triceps,Legs
116,117,Gain,Shoulders + Abs,Chest + Triceps,Shoulders + Abs,Legs,Full Body Strength,Glutes + Core,Chest + Triceps
64,76,Gain,Legs,Chest + Triceps,Chest + Triceps,Back + Biceps,Chest + Triceps,Chest + Triceps,Shoulders + Abs
78,93,Gain,Full Body Strength,Chest + Triceps,Legs,Chest + Biceps,Full Body Strength,Full Body Strength,Chest + Triceps
103,100,Lose,Core Focus,HIIT + Full Body,Cardio + Core,Full Body HIIT,Cardio Endurance,Full Body HIIT,Cardio + Legs
83,93,Gain,Chest + Triceps,Legs,Legs,Chest + Triceps,Legs,Chest + Triceps,Back + Biceps
86,79,Lose,Cardio + Core,Cardio + Core,HIIT + Full Body,Core Focus,Cardio + Abs,Cardio + Legs,Full Body HIIT
93,91,Lose,Cardio + Abs,Full Body HIIT,Cardio + Abs,Cardio + Core,Cardio + Core,Cardio + Abs,Cardio + Core
73,79,Gain,Legs,Shoulders + Abs,Back + Biceps,Shoulders + Abs,Chest + Triceps,Shoulders + Abs,Glutes + Core
103,98,Lose,HIIT + Full Body,Full Body HIIT,Cardio + Legs,Cardio + Core,Full Body HIIT,Full Body HIIT,Core Focus
66,57,Lose,Core Focus,Cardio + Abs,Cardio + Legs,Cardio + Legs,Core Focus,Cardio + Core,Cardio Endurance
69,64,Lose,Cardio + Core,Cardio + Legs,Cardio + Core,Core Focus,Core Focus,HIIT + Full Body,Core Focus
58,48,Lose,HIIT + Full Body,Core Focus,HIIT + Full Body,Cardio + Core,Core Focus,Cardio + Abs,Cardio Endurance
91,86,Lose,Cardio + Legs,HIIT + Full Body,Cardio + Legs,Cardio + Core,Cardio Endurance,Cardio Endurance,Core Focus
81,80,Lose,Cardio Endurance,Cardio Endurance,Cardio + Legs,Full Body HIIT,Full Body HIIT,Cardio + Abs,Cardio + Legs
111,122,Gain,Back + Biceps,Full Body Strength,Shoulders + Abs,Legs,Back + Biceps,Chest + Biceps,Full Body Strength
65,79,Gain,Legs,Back + Biceps,Back + Biceps,Chest + Triceps,Chest + Triceps,Chest + Biceps,Full Body Strength
47,39,Lose,Full Body HIIT,Core Focus,Cardio + Legs,Cardio Endurance,Full Body HIIT,Full Body HIIT,Cardio + Abs
88,93,Gain,Back + Biceps,Chest + Biceps,Glutes + Core,Glutes + Core,Chest + Biceps,Glutes + Core,Chest + Biceps
91,79,Lose,Cardio Endurance,Cardio + Abs,Cardio Endurance,Cardio + Legs,Cardio + Legs,Core Focus,Cardio + Legs
113,100,Lose,Core Focus,Cardio + Legs,Core Focus,Cardio + Legs,Cardio + Core,Cardio + Legs,Core Focus
77,82,Gain,Shoulders + Abs,Legs,Shoulders + Abs,Legs,Shoulders + Abs,Glutes + Core,Chest + Biceps
98,96,Lose,HIIT + Full Body,HIIT + Full Body,Core Focus,Cardio + Legs,Cardio + Legs,HIIT + Full Body,Cardio Endurance
102,100,Lose,HIIT + Full Body,HIIT + Full Body,Core Focus,Cardio Endurance,Cardio + Legs,Core Focus,Cardio + Abs
64,66,Gain,Shoulders + Abs,Glutes + Core,Full Body Strength,Chest + Triceps,Legs,Shoulders + Abs,Chest + Triceps
115,128,Gain,Back + Biceps,Chest + Biceps,Legs,Glutes + Core,Chest + Biceps,Glutes + Core,Back + Biceps
91,95,Gain,Full Body Strength,Chest + Biceps,Back + Biceps,Glutes + Core,Full Body Strength,Glutes + Core,Chest + Triceps
113,105,Lose,Core Focus,Cardio + Core,Cardio + Core,Cardio + Abs,Core Focus,Cardio + Abs,Cardio + Core
68,59,Lose,Cardio + Abs,Cardio + Core,Cardio + Core,Full Body HIIT,HIIT + Full Body,Cardio + Legs,Cardio Endurance
89,102,Gain,Full Body Strength,Legs,Chest + Biceps,Chest + Triceps,Chest + Biceps,Glutes + Core,Chest + Triceps
49,36,Lose,Cardio + Legs,Cardio Endurance,HIIT + Full Body,HIIT + Full Body,Core Focus,Cardio + Core,HIIT + Full Body
108,121,Gain,Chest + Biceps,Chest + Biceps,Shoulders + Abs,Back + Biceps,Glutes + Core,Chest + Triceps,Full Body Strength
55,55,Maintain,Strength Light,Yoga + Core,Yoga + Full Body,Jogging + Core,Jogging + Core,Strength + Flexibility,Jogging + Core
90,84,Lose,Cardio + Abs,Cardio Endurance,Cardio + Abs,Full Body HIIT,Cardio + Core,Cardio Endurance,Cardio Endurance
113,100,Lose,Cardio + Legs,Full Body HIIT,HIIT + Full Body,Cardio Endurance,Cardio Endurance,Cardio Endurance,Full Body HIIT
91,92,Gain,Glutes + Core,Chest + Triceps,Chest + Biceps,Shoulders + Abs,Legs,Shoulders + Abs,Chest + Biceps
99,100,Gain,Legs,Chest + Biceps,Shoulders + Abs,Legs,Shoulders + Abs,Back + Biceps,Legs
109,116,Gain,Shoulders + Abs,Back + Biceps,Shoulders + Abs,Glutes + Core,Legs,Chest + Triceps,Shoulders + Abs
72,77,Gain,Back + Biceps,Full Body Strength,Legs,Glutes + Core,Chest + Triceps,Chest + Triceps,Full Body Strength
120,105,Lose,Cardio + Abs,Full Body HIIT,Cardio + Core,Core Focus,Cardio + Abs,Cardio + Legs,HIIT + Full Body
115,123,Gain,Chest + Triceps,Chest + Triceps,Chest + Triceps,Back + Biceps,Back + Biceps,Shoulders + Abs,Chest + Triceps
103,89,Lose,Cardio + Core,Cardio + Core,HIIT + Full Body,Cardio + Legs,Core Focus,Core Focus,Cardio + Abs
47,51,Gain,Full Body Strength,Glutes + Core,Legs,Back + Biceps,Chest + Biceps,Chest + Triceps,Full Body Strength
78,71,Lose,Cardio + Core,Core Focus,Cardio + Abs,Core Focus,Cardio + Abs,Core Focus,Full Body HIIT
69,65,Lose,Full Body HIIT,Full Body HIIT,Cardio + Abs,Cardio + Core,Cardio Endurance,Cardio + Legs,Cardio + Core
104,117,Gain,Chest + Biceps,Legs,Shoulders + Abs,Glutes + Core,Chest + Triceps,Shoulders + Abs,Glutes + Core
88,88,Maintain,Strength + Flexibility,Cardio + Flex,Strength Light,Yoga + Full Body,Yoga + Full Body,Jogging + Core,Jogging + Core
116,114,Lose,Cardio + Legs,Cardio + Core,Core Focus,Core Focus,Full Body HIIT,Full Body HIIT,Cardio + Legs
55,44,Lose,Core Focus,Core Focus,Core Focus,Cardio Endurance,Cardio Endurance,Cardio + Abs,Cardio + Abs
61,51,Lose,Cardio + Abs,Cardio + Abs,Cardio + Legs,Cardio + Core,Cardio Endurance,Cardio + Core,Cardio + Core
62,72,Gain,Glutes + Core,Chest + Biceps,Full Body Strength,Legs,Legs,Glutes + Core,Back + Biceps
117,102,Lose,Core Focus,HIIT + Full Body,Cardio + Abs,Cardio + Core,Cardio Endurance,Cardio Endurance,Core Focus
95,108,Gain,Full Body Strength,Glutes + Core,Full Body Strength,Back + Biceps,Glutes + Core,Shoulders + Abs,Legs
80,87,Gain,Full Body Strength,Chest + Biceps,Chest + Biceps,Legs,Glutes + Core,Chest + Triceps,Legs
96,88,Lose,HIIT + Full Body,Cardio + Legs,Cardio + Core,Full Body HIIT,Full Body HIIT,Core Focus,HIIT + Full Body
86,77,Lose,Core Focus,Cardio + Legs,Cardio + Core,Cardio Endurance,Cardio + Legs,Cardio Endurance,Cardio + Abs
62,51,Lose,Cardio + Core,Full Body HIIT,Core Focus,Cardio + Core,Cardio Endurance,Cardio + Core,Core Focus
57,71,Gain,Full Body Strength,Back + Biceps,Glutes + Core,Back + Biceps,Shoulders + Abs,Chest + Biceps,Back + Biceps
75,68,Lose,HIIT + Full Body,Cardio + Abs,Cardio + Legs,Cardio + Legs,Cardio + Legs,Full Body HIIT,Cardio Endurance
104,99,Lose,Full Body HIIT,Core Focus,Cardio Endurance,Core Focus,Cardio + Abs,Cardio + Core,Cardio + Abs
71,65,Lose,Cardio Endurance,Cardio + Core,Full Body HIIT,Cardio Endurance,Cardio + Legs,Core Focus,Cardio + Abs
107,111,Gain,Full Body Strength,Glutes + Core,Shoulders + Abs,Chest + Triceps,Chest + Biceps,Back + Biceps,Full Body Strength
112,104,Lose,Full Body HIIT,Core Focus,Cardio + Abs,Core Focus,HIIT + Full Body,Full Body HIIT,Cardio + Legs
83,80,Lose,Cardio + Core,Cardio + Abs,Full Body HIIT,Cardio Endurance,HIIT + Full Body,Cardio + Abs,Cardio + Core
80,86,Gain,Chest + Triceps,Back + Biceps,Full Body Strength,Legs,Glutes + Core,Full Body Strength,Shoulders + Abs
60,58,Lose,Cardio + Abs,Cardio Endurance,Cardio + Legs,Cardio Endurance,Full Body HIIT,HIIT + Full Body,Cardio + Core
63,74,Gain,Chest + Triceps,Chest + Biceps,Chest + Triceps,Glutes + Core,Full Body Strength,Back + Biceps,Back + Biceps
72,87,Gain,Full Body Strength,Glutes + Core,Legs,Full Body Strength,Full Body Strength,Chest + Triceps,Shoulders + Abs
91,81,Lose,Full Body HIIT,Cardio Endurance,Cardio + Legs,Cardio Endurance,Core Focus,Cardio + Core,Cardio + Core
62,75,Gain,Glutes + Core,Full Body Strength,Back + Biceps,Chest + Triceps,Glutes + Core,Glutes + Core,Legs
92,89,Lose,Cardio + Core,Core Focus,Cardio Endurance,Cardio Endurance,Cardio + Legs,Cardio + Abs,Cardio + Legs
81,74,Lose,Core Focus,Cardio Endurance,Core Focus,Full Body HIIT,Full Body HIIT,Core Focus,Core Focus
53,41,Lose,Full Body HIIT,HIIT + Full Body,Cardio + Core,Full Body HIIT,Full Body HIIT,Core Focus,HIIT + Full Body
73,80,Gain,Chest + Biceps,Back + Biceps,Chest + Triceps,Full Body Strength,Shoulders + Abs,Chest + Biceps,Glutes + Core
47,34,Lose,Core Focus,HIIT + Full Body,Cardio + Core,Core Focus,Cardio + Abs,Cardio + Abs,Full Body HIIT
102,99,Lose,Core Focus,Cardio Endurance,Cardio Endurance,Full Body HIIT,Cardio Endurance,Cardio + Abs,Cardio + Abs
93,83,Lose,Full Body HIIT,Core Focus,Full Body HIIT,Cardio + Legs,Cardio + Legs,HIIT + Full Body,Full Body HIIT
61,68,Gain,Glutes + Core,Legs,Shoulders + Abs,Chest + Triceps,Shoulders + Abs,Chest + Triceps,Shoulders + Abs
61,51,Lose,Cardio + Abs,Core Focus,Cardio + Abs,Core Focus,Cardio Endurance,Cardio + Core,Cardio Endurance
79,85,Gain,Glutes + Core,Chest + Biceps,Chest + Triceps,Legs,Shoulders + Abs,Full Body Strength,Chest + Biceps
103,107,Gain,Full Body Strength,Shoulders + Abs,Shoulders + Abs,Chest + Biceps,Glutes + Core,Legs,Full Body Strength
116,125,Gain,Shoulders + Abs,Chest + Biceps,Glutes + Core,Shoulders + Abs,Back + Biceps,Shoulders + Abs,Chest + Triceps
93,79,Lose,Cardio + Abs,HIIT + Full Body,Cardio + Legs,Cardio Endurance,Cardio + Legs,Full Body HIIT,HIIT + Full Body
80,90,Gain,Legs,Shoulders + Abs,Chest + Triceps,Legs,Glutes + Core,Back + Biceps,Chest + Biceps
70,55,Lose,Cardio + Abs,HIIT + Full Body,Cardio + Core,Cardio + Legs,HIIT + Full Body,Full Body HIIT,Full Body HIIT
75,66,Lose,HIIT + Full Body,Full Body HIIT,HIIT + Full Body,Cardio Endurance,Core Focus,HIIT + Full Body,Cardio + Abs
58,52,Lose,Full Body HIIT,Cardio + Legs,Cardio + Legs,Core Focus,Cardio + Abs,Cardio + Legs,Cardio Endurance
49,48,Lose,Cardio + Legs,Cardio Endurance,Cardio + Abs,Cardio + Core,Full Body HIIT,Cardio + Abs,Core Focus
86,100,Gain,Full Body Strength,Full Body Strength,Back + Biceps,Chest + Biceps,Legs,Chest + Triceps,Legs
117,132,Gain,Chest + Biceps,Back + Biceps,Shoulders + Abs,Full Body Strength,Chest + Biceps,Shoulders + Abs,Chest + Triceps
109,109,Maintain,Cardio + Flex,Strength Light,Yoga + Full Body,Yoga + Full Body,Strength Light,Strength + Flexibility,Yoga + Full Body
81,69,Lose,Full Body HIIT,Core Focus,Full Body HIIT,Full Body HIIT,HIIT + Full Body,Core Focus,HIIT + Full Body
71,65,Lose,Cardio + Abs,Cardio Endurance,Cardio + Core,Cardio + Legs,Cardio + Legs,Full Body HIIT,Cardio Endurance
95,95,Maintain,HIIT + Core,Jogging + Core,Cardio + Flex,Strength + Flexibility,Strength + Flexibility,Yoga + Core,Jogging + Core
104,104,Maintain,Strength Light,HIIT + Core,Yoga + Core,Jogging + Core,Strength Light,Strength Light,HIIT + Core
55,68,Gain,Back + Biceps,Back + Biceps,Back + Biceps,Legs,Chest + Biceps,Chest + Triceps,Full Body Strength
83,83,Maintain,Strength + Flexibility,Yoga + Core,HIIT + Core,HIIT + Core,Cardio + Flex,Jogging + Core,Cardio + Flex
102,87,Lose,Cardio + Core,HIIT + Full Body,Cardio Endurance,Cardio + Abs,Cardio Endurance,Core Focus,Cardio + Abs
63,61,Lose,Cardio + Core,Cardio + Abs,Cardio + Abs,Core Focus,Cardio + Legs,Cardio Endurance,HIIT + Full Body
50,39,Lose,Cardio Endurance,Cardio + Core,Core Focus,Core Focus,Cardio + Abs,Cardio Endurance,HIIT + Full Body
45,53,Gain,Full Body Strength,Chest + Biceps,Full Body Strength,Shoulders + Abs,Chest + Triceps,Glutes + Core,Chest + Triceps
106,121,Gain,Legs,Back + Biceps,Glutes + Core,Legs,Legs,Chest + Triceps,Chest + Triceps
103,112,Gain,Legs,Chest + Biceps,Full Body Strength,Full Body Strength,Back + Biceps,Legs,Back + Biceps
70,81,Gain,Full Body Strength,Chest + Triceps,Full Body Strength,Chest + Triceps,Legs,Chest + Triceps,Chest + Triceps
80,88,Gain,Chest + Triceps,Chest + Biceps,Full Body Strength,Chest + Triceps,Back + Biceps,Legs,Back + Biceps
96,83,Lose,Cardio Endurance,Full Body HIIT,Cardio + Abs,HIIT + Full Body,Full Body HIIT,HIIT + Full Body,Cardio + Core
105,96,Lose,HIIT + Full Body,Cardio + Abs,Full Body HIIT,Full Body HIIT,Cardio Endurance,Cardio + Abs,Core Focus
80,81,Gain,Shoulders + Abs,Back + Biceps,Shoulders + Abs,Shoulders + Abs,Shoulders + Abs,Chest + Triceps,Chest + Biceps
96,109,Gain,Glutes + Core,Shoulders + Abs,Legs,Shoulders + Abs,Glutes + Core,Legs,Chest + Biceps
103,99,Lose,Cardio + Core,Cardio + Legs,Full Body HIIT,Cardio Endurance,Full Body HIIT,Full Body HIIT,Cardio Endurance
100,112,Gain,Legs,Shoulders + Abs,Chest + Biceps,Chest + Triceps,Back + Biceps,Legs,Chest + Triceps
63,78,Gain,Legs,Chest + Triceps,Legs,Chest + Biceps,Back + Biceps,Chest + Biceps,Chest + Triceps
85,89,Gain,Full Body Strength,Chest + Triceps,Glutes + Core,Shoulders + Abs,Shoulders + Abs,Glutes + Core,Legs
78,90,Gain,Legs,Chest + Triceps,Glutes + Core,Full Body Strength,Legs,Glutes + Core,Glutes + Core
79,92,Gain,Full Body Strength,Back + Biceps,Back + Biceps,Full Body Strength,Back + Biceps,Glutes + Core,Full Body Strength
98,90,Lose,Full Body HIIT,Core Focus,Full Body HIIT,Cardio + Legs,HIIT + Full Body,HIIT + Full Body,Core Focus
115,114,Lose,Cardio + Abs,Cardio Endurance,Cardio Endurance,Cardio + Legs,Cardio + Core,Cardio + Core,Full Body HIIT
87,97,Gain,Glutes + Core,Chest + Triceps,Glutes + Core,Shoulders + Abs,Full Body Strength,Back + Biceps,Full Body Strength
50,44,Lose,Cardio + Core,Full Body HIIT,Cardio + Legs,Cardio Endurance,HIIT + Full Body,Full Body HIIT,Cardio + Core
74,83,Gain,Shoulders + Abs,Chest + Biceps,Legs,Chest + Triceps,Glutes + Core,Shoulders + Abs,Chest + Biceps
105,116,Gain,Chest + Triceps,Shoulders + Abs,Chest + Triceps,Glutes + Core,Glutes + Core,Chest + Triceps,Full Body Strength
92,104,Gain,Full Body Strength,Chest + Biceps,Full Body Strength,Chest + Triceps,Glutes + Core,Chest + Biceps,Shoulders + Abs
61,59,Lose,Core Focus,Cardio + Legs,Core Focus,Core Focus,Full Body HIIT,Cardio + Abs,Cardio + Abs
113,102,Lose,Full Body HIIT,HIIT + Full Body,Core Focus,Full Body HIIT,Cardio + Legs,Cardio + Legs,Core Focus
54,55,Gain,Legs,Chest + Triceps,Chest + Triceps,Legs,Shoulders + Abs,Glutes + Core,Chest + Biceps
92,96,Gain,Chest + Triceps,Full Body Strength,Back + Biceps,Full Body Strength,Glutes + Core,Chest + Biceps,Shoulders + Abs
64,72,Gain,Full Body Strength,Chest + Triceps,Shoulders + Abs,Chest + Biceps,Chest + Triceps,Legs,Legs
100,91,Lose,Full Body HIIT,HIIT + Full Body,Cardio + Legs,Full Body HIIT,Full Body HIIT,Cardio + Legs,Cardio + Legs
